Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20
68.61,70.31,76.62,108.80,48.83,94.95,68.93,71.09,65.69,75.10,67.26,74.34,97.25,45.06,122.14,69.33,87.90,85.78,79.22,81.90
68.61,69.14,76.62,108.77,48.83,94.95,68.93,71.09,62.52,74.56,65.59,74.34,97.25,45.06,120.91,69.33,87.39,85.78,79.22,81.90
68.61,69.14,76.62,108.77,48.82,94.95,68.93,71.09,62.52,74.56,65.59,74.34,97.25,45.06,120.91,69.33,87.37,85.78,79.22,81.90
68.61,69.14,76.62,108.77,48.82,94.95,68.93,71.09,62.52,74.56,65.51,74.34,97.25,45.06,120.91,69.33,87.37,85.78,79.22,81.90
68.61,69.14,76.62,107.13,48.78,94.95,68.93,71.09,62.52,74.56,65.51,74.34,97.25,45.06,118.58,69.33,87.37,85.78,78.75,81.90
68.61,69.14,76.62,107.13,48.53,94.95,68.93,71.09,62.52,73.95,65.51,74.34,97.25,45.06,118.58,69.33,87.37,85.78,78.75,81.90
68.61,69.14,76.62,107.09,48.39,94.95,68.93,71.09,62.52,73.56,63.10,74.34,97.25,44.82,118.58,69.33,86.86,85.78,78.75,81.90
68.61,69.14,76.62,107.09,47.35,94.95,68.93,71.09,62.52,73.30,63.10,74.34,97.25,44.82,118.58,69.33,86.86,85.78,78.75,81.42
53.01,65.81,66.64,102.25,43.98,86.92,62.27,69.69,59.04,68.16,64.17,71.82,97.25,43.14,108.83,70.25,86.61,84.62,75.30,76.63
53.01,65.81,66.64,102.15,43.09,86.92,62.27,69.06,59.04,68.16,61.08,71.82,97.25,41.81,108.83,70.23,86.61,84.62,75.30,76.63
53.01,65.81,66.64,102.15,43.09,86.92,62.27,69.06,59.04,68.16,61.08,71.82,97.25,41.81,108.83,69.42,86.61,84.62,75.30,75.86
53.01,65.81,66.64,101.09,42.99,86.92,62.27,69.06,59.04,68.16,61.08,71.82,97.25,41.81,108.83,69.42,86.61,84.62,75.30,73.93
53.01,65.81,65.69,101.09,41.19,86.92,62.27,68.76,59.04,68.16,61.08,71.82,97.25,41.81,108.83,69.42,86.60,84.62,75.30,73.93
53.01,63.20,65.26,100.94,41.19,86.92,62.27,68.76,59.04,67.02,59.79,71.82,97.25,41.81,108.83,69.42,86.60,84.62,75.30,73.93
53.01,63.20,65.26,100.94,41.00,86.92,62.27,68.76,59.04,66.61,59.79,71.82,97.25,41.81,108.83,69.42,85.41,84.62,75.30,73.93
53.01,63.20,63.42,100.58,40.86,86.92,62.27,63.38,59.04,66.61,59.58,71.82,97.25,41.81,108.83,69.42,85.41,84.62,75.30,73.45
53.01,63.20,63.34,100.53,40.75,86.92,62.27,63.38,59.04,66.22,59.58,71.82,97.25,41.81,108.83,69.19,85.41,84.62,75.30,73.45
53.01,60.28,63.34,100.53,40.75,86.92,62.27,63.38,59.04,66.22,59.52,71.82,97.25,41.81,108.83,68.23,85.41,84.62,75.30,73.45
53.01,60.28,61.78,100.17,40.75,86.92,62.27,63.38,59.04,66.22,59.52,71.82,97.25,41.81,108.83,68.23,85.41,84.62,75.30,73.45
53.01,59.16,57.92,96.84,38.48,86.92,62.27,63.47,55.93,62.76,57.93,69.42,63.96,40.23,108.83,65.69,80.64,80.87,74.82,73.45
53.01,59.16,56.67,96.84,37.93,86.92,62.27,63.47,55.93,62.76,57.20,69.42,63.96,40.23,108.83,65.69,80.64,80.87,74.82,73.45
53.01,59.16,56.67,96.84,37.93,86.92,62.27,63.47,55.93,62.53,57.20,69.42,63.96,40.23,108.83,65.69,80.45,80.87,74.82,73.45
53.01,58.54,56.67,94.84,37.93,86.92,62.27,63.47,55.93,62.53,57.20,69.42,63.96,40.23,108.83,65.69,80.45,80.87,74.82,73.45
53.01,58.54,56.67,94.84,37.93,86.92,62.27,63.47,55.93,61.73,57.20,69.42,63.96,40.23,108.83,64.85,80.45,80.87,74.82,73.45
53.01,58.54,56.67,93.95,37.93,86.92,62.27,63.47,55.93,61.73,55.94,69.42,63.96,40.23,108.83,64.85,80.45,80.87,74.82,73.45
53.01,58.54,56.62,93.95,37.64,86.92,62.27,62.52,55.93,61.73,55.94,69.42,63.96,40.23,108.83,64.85,80.45,80.87,74.82,73.45
53.01,58.54,53.24,93.95,37.64,86.92,62.27,62.52,55.93,61.55,54.85,69.42,63.96,40.23,108.83,64.85,80.45,80.87,74.82,73.45
53.01,58.54,53.24,93.95,37.64,86.92,62.27,62.52,55.93,61.55,54.85,69.42,63.96,40.23,108.83,64.85,80.45,80.87,74.82,73.45
