Gen,hypercube0,hypercube1,hypercube2,hypercube3
106,0.136745607,0.306509833,0.516189927,0.269381518
107,0.135370544,0.301908268,0.508947348,0.276160264
108,0.135370544,0.301582282,0.508947348,0.276160264
109,0.134675348,0.296828629,0.516189927,0.26487965
110,0.134675348,0.290502209,0.499591525,0.266167988
111,0.134675348,0.301383252,0.499591525,0.261141465
112,0.13395464,0.290502209,0.490738992,0.262391744
113,0.132741515,0.282433414,0.490936899,0.259634769
114,0.132635405,0.281844449,0.490936899,0.260398454
115,0.132635405,0.282217376,0.490738992,0.258435203
116,0.132010213,0.280987642,0.483963094,0.254225589
117,0.128432555,0.281844449,0.483963094,0.254225589
118,0.128432555,0.280987642,0.475620383,0.254174876
119,0.128432555,0.275890956,0.475620383,0.251686971
120,0.126488127,0.274897415,0.475620383,0.251686971
121,0.125686074,0.268570995,0.475620383,0.251686971
122,0.1239123,0.268198068,0.473454111,0.246661193
123,0.1239123,0.268198068,0.473454111,0.246661193
124,0.1239123,0.268198068,0.465769705,0.246661193
125,0.123110246,0.268198068,0.4638782,0.246661193
126,0.121022277,0.26511708,0.465769705,0.242973777
127,0.119054491,0.25720546,0.465769705,0.242973777
128,0.120630857,0.259883337,0.461054349,0.242973777
129,0.119679683,0.25720546,0.456193794,0.242487212
130,0.116966522,0.256683076,0.456193794,0.236294233
131,0.116966522,0.252986333,0.456193794,0.236294233
132,0.116966522,0.252351005,0.449312165,0.236294233
133,0.114180798,0.251978078,0.449312165,0.234791455
134,0.110125043,0.251082767,0.443815857,0.234791455
135,0.109281232,0.251082767,0.443815857,0.234791455
136,0.109281232,0.25192787,0.443815857,0.234791455
137,0.105786593,0.247271674,0.443624643,0.234373902
138,0.109281232,0.247271674,0.443624643,0.233564298
139,0.109281232,0.247221466,0.443624643,0.233564298
140,0.103209291,0.247221466,0.443624643,0.231643967
141,0.102762535,0.243828622,0.4353274,0.231643967
142,0.100877915,0.241191211,0.435412843,0.23094475
143,0.100877915,0.23588803,0.42938269,0.227879861
144,0.100877915,0.23588803,0.429468133,0.223757536
145,0.100036782,0.235885006,0.427115601,0.223757536
